"Mud";"Sand";"Gravel_f";"Rocks";"Macrophytes";"Grass";"Subm_veg";"Overh_veg";"Leaf_l";"Root_masses";"Algae";"Debris";"Temp_C";"DO_mg.L";"Cond_uS.cm";"Turb_ntu";"pH";"Elev_m";"Vel_m.s";"Slope";"Depth_avg_cm";"Width_m"
"S-B-P05-H1";0.134394206455945;0;0;0;0.11690849646625;0;0.0902895900898906;0.1406440093825;0.120854688457345;0;0.170338414861454;0.136676208775092;4.98998997994986;2.91547594742265;11.5758369027902;2.61725046566048;2.51594912508182;10.3474634572923;0.158113883008419;1.22474487139159;3.69684550213648;1.90787840283389
"S-B-P05-H2";0.134394206455945;0;0;0;0.11690849646625;0;0.0902895900898906;0.1406440093825;0.120854688457345;0;0.170338414861454;0.136676208775092;5.00999001995014;2.84604989415154;12.8218563398597;3.27108544675922;2.73130005674953;10.3474634572923;0.158113883008419;1;3.69684550213648;1.90787840283389
"S-B-P05-H3";0.134394206455945;0;0;0;0.11690849646625;0;0.0902895900898906;0.1406440093825;0.120854688457345;0;0.170338414861454;0.136676208775092;5.22494019104525;2.79284800875379;11.8701305805791;2.14941852602047;2.67394839142419;10.3474634572923;0.158113883008419;1;3.69684550213648;1.90787840283389
"S-B-P06-H1";0.134394206455945;0;0;0;0.289751701436047;0.0846466725956981;0.0902895900898906;0.132551532296674;0.085352888968914;0.0741929800262361;0;0.0556529940802404;5.02991053598372;2.79284800875379;12.4137021069462;1.46287388383278;2.6134268690744;10.6226173799116;0.187668684393899;1.58113883008419;4.50924975282289;2.0976176963403
"S-B-P06-H2";0.134394206455945;0;0;0;0.289751701436047;0.0846466725956981;0.156815685344401;0.136656187888186;0.0381338842499038;0.128743504696743;0.0758826075547619;0.0609711041881237;5.24404424085076;2.68328157299975;12.5219806739988;1.4560219778561;2.78028775489157;10.6226173799116;0.187668684393899;1.58113883008419;4.50924975282289;2.0976176963403
"S-B-P06-H3";0.134394206455945;0;0;0;0;0.0846466725956981;0.0902895900898906;0.132551532296674;0.085352888968914;0.0741929800262361;0;0.0556529940802404;5.17687164221791;2.75680975041804;11.5801554393713;3.75499667110372;2.42280828791714;10.6226173799116;0.187668684393899;1.58113883008419;5.32290647422377;1.51657508881031
"S-B-P07-H1";0.12745891080238;0.0520461808146089;0;0;0;0.0846466725956981;0;0.1406440093825;0.210365409180629;0.128743504696743;0.107417708691539;0.0964937348171228;4.98998997994986;2.77488738510232;9.91362698511498;1.22882057274445;2.4;9.43647179829411;0.148930608173045;1.58113883008419;4;1.44913767461894
"S-B-P07-H2";0.12745891080238;0.0520461808146089;0;0;0;0;0;0.136656187888186;0.085352888968914;0.105021432907778;0.354801426767521;0.0825980131614726;5.02991053598372;2.81069386451104;12.6570138658374;3.04138126514911;2.45967477524977;9.43647179829411;0.329281445174651;1.22474487139159;4.50924975282289;1.06770782520313
"S-B-P07-H3";0.12745891080238;0.0520461808146089;0;0;0;0.0378189678730086;0.127863465955281;0.132551532296674;0.19179696150496;0.0741929800262361;0.242089432017423;0.0556529940802404;5.04975246918104;2.82842712474619;11.3357840487546;1.58745078663875;2.13307290077015;9.43647179829411;0.295342875875173;1.58113883008419;4.76095228569524;1.34164078649987
"S-B-P08-H1";0.120133054154399;0.0736377214995796;0;0;0.415952086950107;0.270648871043365;0;0.0810220358996557;0.210365409180629;0;0.298001219593757;0.136676208775092;5.33853912601566;2.89827534923789;12.7003936946852;2.50199920063936;2.44948974278318;9.4371076077366;0;1.4142135623731;7.16472842006822;2.14476105895272
